tanggal,nama_acara,jumlah_pengunjung,fasilitas_wisata
2016-01-02,Pemutaran Film Sang Pemimpi di Balai Agung ,224,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-01-03,Pemutaran Film Sang Pemimpi di Balai Agung ,137,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-01-09,Pemutaran Film Get Married 3 di Balai Agung ,244,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-01-10,Pemutaran Film Get Married 3 di Balai Agung ,182,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-01-16,Pemutaran Film Get Married 4 di Balai Agung,112,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-01-17,Pemutaran Film Get Married 4 di Balai Agung,294,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-01-23,Pemutaran Film 7 Misi Rahasia Sophie di Balai Agung,229,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-01-24,Pemutaran Film 7 Misi Rahasia Sophie di Balai Agung,157,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-01-30,Pemutaran Film Malaikat Tanpa Sayap di Balai Agung ,267,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-01-31,Pemutaran Film Malaikat Tanpa Sayap di Balai Agung ,37,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-02-06,Pemutaran Film Wakil Rakyat di Balai Agung,35,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-02-07,Pemutaran Film Wakil Rakyat di Balai Agung,447,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-02-13,"Pemutaran Film Aku, Kau dan KUA di Balai Agung, Penyelenggaraan Jakarta Run 5K dan Talkshow dengan Indorunners di Balai Agung, Acara Jakarta Animal Aid Network (Komunitas Pemerhati Binatang Peliharaan)",411,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-02-14,"Pemutaran Film Ada Apa Dengan Cinta di Balai Agung yang didukung oleh I Radio 89,6 FM ",278,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-02-20,Pemutaran Film Kukejar Kau Ke Negeri Cina di Balai Agung,388,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-02-21,Pemutaran Film Kukejar Kau Ke Negeri Cina di Balai Agung,105,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-02-27,Pemutaran Film Air dan Api di Balai Agung,178,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-02-28,Pemutaran Film Air dan Api di Balai Agung,248,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-03-05,Pemutaran Film Tarix Jabrix di Balai Agung ,381,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-03-06,Pemutaran Film Tarix Jabrix di Balai Agung ,326,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-03-12,Pemutaran Film Manusia Setengah Salmon di Balai Agung,408,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-03-13,Pemutaran Film Manusia Setengah Salmon di Balai Agung,264,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-03-19,Pemutaran Film Malaikat Tanpa Sayap di Balai Agung ,394,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-03-20,Pemutaran Film Malaikat Tanpa Sayap di Balai Agung ,453,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-03-26,Pemutaran Film 7 Misi Rahasia Sophie di Balai Agung,444,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-03-27,Pemutaran Film 7 Misi Rahasia Sophie di Balai Agung,285,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-04-02,Pemutaran Film Cinta Brontosaurus di Balai Agung,896,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-04-03,Pemutaran Film Cinta Brontosaurus di Balai Agung,304,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-04-09,Pemutaran Film Slank Nggak Ada Matinya di Balai Agung,461,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-04-10,Pemutaran Film Slank Nggak Ada Matinya di Balai Agung,504,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-04-16,Pemutaran Film Si Jago Merah di Balai Agung,382,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-04-17,Pemutaran Film Si Jago Merah di Balai Agung,493,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-04-23,Pemutaran Film Tarix Jabrix Merah di Balai Agung,349,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-04-24,Pemutaran Film Tarix Jabrix Merah di Balai Agung,352,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-04-30,Pemutaran Film Crazy Love di Balai Agung,481,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-05-01,Pemutaran Film Crazy Love di Balai Agung,381,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-05-07,Penyelenggaraan Public Speaking Abang None Jakarta Kepulauan Seribu tahun 2016 ,1788,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-05-08,Pemutaran Film Bajaj Bajuri The Movie di Balai Agung ,429,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-05-14,Pemutaran Film Kabayan Jadi Milyuner  The Movie di Balai Agung ,822,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-05-15,Pemutaran Film Kabayan Jadi Milyuner  The Movie di Balai Agung ,408,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-05-21,Pemutaran Film Laskar Pemimpi di Balai Agung ,559,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-05-22,Pemutaran Film Laskar Pemimpi di Balai Agung ,486,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-05-28,Pemutaran Film Bidadari-Bidadari Surga di Balai Agung ,494,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-05-29,Pemutaran Film Bidadari-Bidadari Surga di Balai Agung ,335,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-06-04,Pemutaran Film Wakil Rakyat di Balai Agung,443,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-06-05,Pemutaran Film Wakil Rakyat di Balai Agung,284,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-06-11,Pemutaran Film Hafalan Sholat Delisa di Balai Agung,78,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-06-12,Pemutaran Film Hafalan Sholat Delisa di Balai Agung,118,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-06-18,"Pemutaran Film Tujuh Misi Rahasia Sophie di Balai Agung, Peliputan Wisata  Balaikota dari Kompas Group of TV ",184,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-06-19,Pemutaran Film Tujuh Misi Rahasia Sophie di Balai Agung,226,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-06-25,"Pemutaran Film Aku,Kau dan KUA di Balai Agung",315,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-06-26,"Pemutaran Film Aku,Kau dan KUA di Balai Agung",59,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-07-16,Pemutaran Film Bajaj Bajuri di Balai Agung,213,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-07-17,"Pemutaran Film Bajaj Bajuri di Balai Agung, Tour Wisata Balaikota Bersama Finalis Abang None Jakarta Tahun 2016",98,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-07-23,"Pemutaran Film Kabayan Jadi Milyuner di Balai Agung, Bakti Sosial Dalam Rangka Hari Anak ",358,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-07-24,Pemutaran Film Kabayan Jadi Milyunerdi Balai Agung,240,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-07-30,Pemutaran Film Laskar Pemimpin di Balai Agung,257,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-07-31,Pemutaran Film Laskar Pemimpin di Balai Agung,269,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-08-06,Pemutaran Film Cinta Brontosaurus di Balai Agung,298,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-08-07,Pemutaran Film Cinta Brontosaurus di Balai Agung,265,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-08-13,"Pemutaran Film Manusia Setengah Salmon di Balai Agung, Pentas Seni Oleh Siswa Binaan Balai Latihan Kerja",411,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-08-14,"Pemutaran Film Manusia Setengah Salmon di Balai Agung, Melukis/ Lomba mewarnai oleh Komunitas Lebah",155,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-08-20,Tidak ada,436,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-08-21,Tidak ada,361,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-08-27,Tidak ada,406,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-08-28,Tidak ada,204,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-09-03,Penyelenggaraan Acara Penutupan IBM Linux Challenge,540,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-09-04,Penyelenggaraan Acara Hiburan Warkop DKI Reborn,214,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-09-10,Tidak ada,133,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-09-11,Tidak ada,162,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-09-17,Penyelenggaraan Acara Pameran Perangko (Filateli)  dan  Acara Hari Anak Jakarta Membaca (Hanjaba) Tahun 2016,798,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-09-18,Tidak ada,270,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-09-24,Tidak ada,395,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-09-25,Tidak ada,246,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-10-01,Penyelenggaraan Acara Networking Event di Balai Agung,388,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-10-02,"Penyelenggaraan Acara Lomba Dokter Kecil Award 2016 di Balai Pertemuan Lanatai Dasar Blok G, dan Hiburan Musik",322,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-10-08,Tidak ada,270,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-10-09,Tidak ada,127,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-10-15,Tidak ada,264,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-10-16,Tidak ada,381,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-10-22,Kunjungan Komunitas Indonesia Corners (Komunitas Blogger Indonesia),225,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
2016-10-23,Tidak ada,145,"Kuliner dan Non Kuliner, Live Musik, Jakarta Smart City, Pemutaran Film, Ac, Toilet"
