kegiatan,waktu,lokasi,keterangan
Apresiasi Kesenian bagi Siswa Kurang Mampu,2010-06-15 s.d 2010-06-22 ,Jakarta,
Partsipasi pada Duta Seni Pelajar se-Jawa-Bali ke-XI,2010-07-06 s.d 2010-07-09 ,"Solo, Jawa Tengah",
Pemberdayaan Lembaga-Lembaga Kesenian,2010-01 s.d 2010-12,Jakarta,
Pengelolaan Perkampungan Budaya Betawi,2010-01 s.d 2010-12,Jakarta,
Kerjasama kepariwisataan dan kebudayaan antar daerah di lingkungan Mitra Praja Utama,2010-01 s.d 2010-12,"Bandung, Surabaya, Mataram, Bali","Rapat telah dilakukan di Bandung (2010-02-24 s.d 2010-02-26), Surabaya (2010-04-14 s.d 2010-04-15), Mataram (2010-05-19 s.d 2010-05-21) dan di Bali (2010-06-02 s.d 2010-06-04)"
Pengiriman Delegasi BCB Mitra Praja Utama,2010-06-19 s.d 2010-06-21,"Surabaya, Jawa Timur",
Audisi dan Pengiriman Tim Gita Bahana Nusantara Provinsi DKI Jakarta,2010-07-20 s.d 2010-07-22 ,Jakarta,
Partsipasi pada Festival Kesenian Traditional Mitra Praja Utama,2010-07-29 s.d 2010-07-31  ,"Mataram, NTB",
Pesta Seni Pelajar Tingkat Provinsi DKI Jakarta,2010-09,Jakarta,
Forum Kemitraan Pengrajin dan Pemilik Home Indsutri dengan Pengelola Industri Pariwisata,2010-09,Jakarta,
Forum Friends of Jakarta Tourism,2010-09,Jakarta,
Perpanjangan Sewa Lahan untuk Bangunan panggung Eksisting (Mendukung PBB),2010-10,Jakarta,
Partsipasi pada Festival Seni Pertunjukan Tingkat Nasional,2010-11,Jakarta,
