nama_usaha,wilayah,alamat_usaha,rt,rw,penanggung_jawab,badan_usaha,telepon,fax,jenis_usaha,kapasitas_kamar
Gerbang Purnama,Jakarta Barat,Jl. Terusan Arjuna No. 7,,,Ir. Timothy Bejo Adiyono  Gunawan,PT. Graha Cipta Wisata,021 5659433,021 5659434,Motel,49
Grogol   I,Jakarta Barat,Jl. Gg. Macan Daan Mogot,,,Ir. Sukrisman,PT. Metropolitan Development,021 5681434,,Motel,30
Grogol  2,Jakarta Barat,Jl. Daan Mogot No. 79,,,Ir. Soekrisman,PT. Metropolitan Development,021 56964232,021 56964232,Motel,24
Hotel Transit Tomang,Jakarta Barat,Jl. Kedoya Raya RT007/RW003,7,3,Teddy Sidjono,PT. Lintas Tomang Star,021 5802127,021 5802127,Motel,37
Pondok Citra Grogol,Jakarta Barat,Jl. Daan Mogot No. 111,,,Xaverius Nursalim,PT. Citra Nusantara Perkasa,021 5670518,,Motel,53
Pondok Mitra Kencana Lestari,Jakarta Barat,Jl. Latumenten No. 50,,,Ie Tjoeng Benyamin M,PT. Mitra Kencana Lestari,021 5682581,021 5672224,Motel,86
Laura,Jakarta Pusat,Jl. Kramat Raya No. 7-9,,,Ny. Bertina Purba,,,,Motel,25
Bukit Indah,Jakarta Selatan,Jl. R.A. Kartini No. 9,,,Adhi Irawan B. Anondo,PT. Grandpuri Permai,021 7657585,021 7657667,Motel,72
Pondok Wisata,Jakarta Selatan,Jl. TB. Simatupang / Jl. RA. Kartini,,,Ir. Soekrisman,PT. Metropolitan Development, 021 7657727,021 76813735,Motel,54
C' One Hotel Pulomas,Jakarta Timur,Jl. Jend. Achmad Yani RT003/RW009,3,9,Idris Sasmita,PT. Jakarta Tourisindo,021 4759510,021 4750520,Motel,53
Pondok Nirwana,Jakarta Timur,Jl. MT. Haryono Kav. 26,,,Idris Sasmita,PT. Jakarta Tourisindo,021 4759510,021 4750520,Motel,42
Pondok Pulo mas,Jakarta Timur,Jl. Pulo Mas Utara No. 1,,,H. Joko Mulyani,H. Joko Mulyani,021 4896486,021 4897487,Motel,42
Pondok Tirta Sentosa,Jakarta Timur,Jl. Raya Halim Perdanakusuma No. 1A,,,Bambang Dwiyanto,PT. Pondok Tirta Sentosa,021 8009009,021 8009011,Motel,77
Griya Permai,Jakarta Utara,Jl. Jembatan Tiga No. 8,,,Roy Yusuf Sadewo Sumpono,PT. Griya Sukses Dinamika,021 6603242,021 6691744,Motel,62
Pondok Impian,Jakarta Utara,Jl. RE. Martadinata No. 2,,,M. Achyani Bin Sabihun,PT. Cahaya Budi Jaya,021 6908924,021 6915329,Motel,50
Pondok Kencana Indah,Jakarta Utara,Jl. Terusan Bandengan Utara No. 93,,,Suari Samsuddin,PT. Laju Pondok Kencana Indah,021 6600035,021 6600035,Motel,71
Pondok Sunter Indah,Jakarta Utara,"Jl. Gaya Motor No. 3/7, Sunter II",,,Chung Hauw Tanu,PT. Andaka Pratama Indonesia,021 6511145,021 6510588,Motel,62
